Row Id,Issue Date,Year,Month,Dev. Type,File Num,Status,Case Type,Work Type,Chap. 245,Watershed,Existing Land Use,Proposed Land Use,Land Use Trans.,Limits of Construction (sqft),Site Area (sqft),Native Inches Surveyed,Native Inches Removed,Non-Native Inches Removed,Inches Replanted,Total Removed,Preserved,Net Difference,Preservation Percentile,Removal Percentile,Location,Council District,See Details,Property Id
11476277,08/09/2016,2016,8,Subdivision,C8-77-103.01.1(85).1B,Subdivision Recorded,Subdivision Construction Plan,Street/Drainage,No,Walnut Creek,Single Family,Single Family,Single Family  to Single Family,333582.48,348480,0,0,0,0,0,0,0,0.18,0.18,"(1000000000000000000000000000000, 1000000000000000000000000000000)",,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11476277,5970
11230972,06/24/2015,2015,6,Site Plan,SP-2014-0403DS,Approved and Released,Site Plan Administrative Small Project,"Bldg/Prkg,Clring,Cut/Fill,Spoil Disposal",No,Town Lake,Vacant,Public,Vacant to Public,3892,3892,132,11,19,0,30,121,30,0.57,0.45,"(-97.73513258, 30.2548933)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11230972,5111527
10920331,04/14/2014,2014,4,Site Plan,SP-2013-0117C,Approved and Released,Site Plan Administrative,Consolidated,No,Onion Creek,Vacant,Commercial,Vacant to Commercial,69696,70131.6,40,0,0,0,0,40,0,0.43,0.18,"(-97.71629137, 30.20490413)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10920331,186774
10732895,06/05/2013,2013,6,Site Plan,SPC-2012-0104D,Approved and Released,Site Plan Commission,"Bldg/Prkg,Clring,Cut/Fill,Spoil Disposal",No,Barton Creek,PARK,PARK,PARK to PARK,479160,6642900,2023.1,12.5,0,128,12.5,2010.6,-115.5,0.94,0.38,"(-97.77109973, 30.2636686)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10732895,690938
11428383,10/17/2016,2016,10,Site Plan,SP-2015-0457CS,Approved and Released,Site Plan Administrative Small Project,Utility Line,No,Waller Creek,Vacant,Utility Line,Vacant to Utility Line,824,,126,0,0,0,0,126,0,0.57,0.18,"(-97.73483603, 30.29050739)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11428383,5303724
11129543,11/13/2014,2014,11,Subdivision,C8-2014-0003.0B,Subdivision Recorded,Subdivision Construction Plan,Non-Concurrent,No,South Boggy Creek,Vacant,Single Family,Vacant to Single Family,94359.672,,1683.5,617,0,84,617,1066.5,533,0.88,0.86,"(1000000000000000000000000000000, 1000000000000000000000000000000)",,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11129543,10297
11268520,05/18/2016,2016,5,Site Plan,SP-2014-0524C,Approved and Released,Site Plan Administrative,Consolidated,No,Shoal Creek,Vacant,Commercial,Vacant to Commercial,103237.2,103237.2,370,224.5,0,112,224.5,145.5,112.5,0.60,0.74,"(-97.73900599, 30.37270723)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11268520,213503
11299392,11/05/2015,2015,11,Site Plan,SP-2015-0093C,Approved and Released,Site Plan Administrative,Consolidated,Yes,Williamson Creek,Vacant,Commercial Multi Family,Vacant to Commercial Multi Family,848984.4,848984.4,0,0,0,0,0,0,0,0.18,0.18,"(-97.85964288, 30.24881635)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11299392,5125634
10589087,07/09/2015,2015,7,Site Plan,SP-2011-0134C,Approved and Released,Site Plan Administrative,Consolidated,No,Tannehill Branch,Vacant,"Residential, Retail Commercial, Fast Food Restaurant","Vacant to Residential, Retail Commercial, Fast Food Restaurant",0,45302.4,0,0,0,34,0,0,-34,0.18,0.18,"(-97.68372337, 30.28539584)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10589087,366620
10817202,09/13/2013,2013,9,Site Plan,SP-2012-0276C,Approved and Released,Site Plan Administrative,Consolidated,No,Walnut Creek,Vacant,Multi-Family Units,Vacant to Multi-Family Units,0,619161.84,582,212,16.5,210,228.5,370,18.5,0.74,0.74,"(-97.69386317, 30.46368997)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10817202,1108772
11223623,07/10/2015,2015,7,Site Plan,SP-2014-0381C,Approved and Released,Site Plan Administrative,Consolidated,No,Walnut Creek,Vacant,Commercial,Vacant to Commercial,161694.72,185565.6,827,160,21,101,181,667,80,0.82,0.70,"(-97.71873757, 30.40193338)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11223623,5111065
11008212,03/06/2014,2014,3,Site Plan,SP-2013-0327C,Approved and Released,Site Plan Administrative,Consolidated,No,Walnut Creek,Single Family,Civic Religious,Single Family  to Civic Religious,0,254826,2845,302,161,10,463,2543,453,0.95,0.83,"(-97.70500278, 30.426322)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11008212,3345468
10959289,09/04/2013,2013,9,Site Plan,SP-2013-0206DS,Approved and Released,Site Plan Administrative Small Project,Retaining Wall,No,Country Club West,Single Family,Single Family,Single Family  to Single Family,2178,94960,0,0,0,0,0,0,0,0.18,0.18,"(-97.73739482, 30.2236904)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10959289,576704
11433215,11/08/2016,2016,11,Site Plan,SP-2015-0468C,Approved and Released,Site Plan Administrative,Consolidated,No,Cottonmouth Creek,Vacant,Public,Vacant to Public,174240,174240,0,0,0,0,0,0,0,0.18,0.18,"(-97.71931769, 30.15583242)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11433215,5303767
11184857,09/15/2015,2015,9,Site Plan,SP-2014-0281C,Approved and Released,Site Plan Administrative,Consolidated,No,West Bouldin Creek,Commercial Multi-Family,Commercial Multi Family,Commercial Multi-Family to Commercial Multi Family,16117.2,16117.2,26,26,0,27.5,26,0,-1.5,0.18,0.43,"(-97.77222494, 30.25423954)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11184857,242679
11224273,12/02/2014,2014,12,Site Plan,SP-2014-0385C,Approved and Released,Site Plan Administrative,Consolidated,No,Harris Branch,Light Industrial,Commercial,Light Industrial  to Commercial,0,1407902.76,27,27,0,27,27,0,0,0.18,0.44,"(-97.64619597, 30.41033104)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11224273,256261
11479819,10/28/2016,2016,10,Subdivision,C8-2016-0109.2B,Subdivision Recorded,Subdivision Construction Plan,Non-Concurrent,Yes,Walnut Creek,Vacant,Single Family,Vacant to Single Family,1040212.8,1045440,1875,1302,0,1739,1302,573,-437,0.80,0.93,"(1000000000000000000000000000000, 1000000000000000000000000000000)",,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11479819,3129632
11713145,01/12/2018,2018,1,Site Plan,SP-2017-0148C,Approved and Released,Site Plan Administrative,Consolidated,Yes,Bull Creek,Single Family,mixed use/ golf course,Single Family  to mixed use/ golf course,288802.8,,113,7,2,37,9,106,-28,0.55,0.37,"(-97.76660646, 30.40308164)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11713145,308324
11821199,10/23/2018,2018,10,Subdivision,C8-2015-0093.2B.SH,Subdivision Recorded,Subdivision Construction Plan,Concurrent,No,Rinard Creek,Vacant,"SF, GRBENBELT, ROW","Vacant to SF, GRBENBELT, ROW",3356733.6,784080,0,0,0,0,0,0,0,0.18,0.18,"(-97.77243782, 30.14098101)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11821199,242821
10861677,07/08/2013,2013,7,Site Plan,SP-2012-0398C,Approved and Released,Site Plan Administrative,Consolidated,No,Town Lake,Retail,Mixed-Use,Retail to Mixed-Use,0,66764.412,175,175,28,87.5,203,0,115.5,0.18,0.72,"(-97.74869734, 30.25952831)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10861677,249896
